	contig_id	contig_length	checkv_quality	completeness	contamination	provirus
33	A1_spa_contigs_1027	41903	Medium-quality	51.52	0	No
34	A1_spa_contigs_10278	10330	Low-quality	5.58	0	No
35	A1_spa_contigs_10293	10323	Low-quality	15.96	0	No
36	A1_spa_contigs_10301	10319	Low-quality	24.77	0	No
37	A1_spa_contigs_10306	10317	Low-quality	16.41	0	No
38	A1_spa_contigs_10330	10303	Low-quality	22.69	0	No
39	A1_spa_contigs_10334	10301	Low-quality	8.35	0	No
40	A1_spa_contigs_10349	10294	Low-quality	30.67	0	No
41	A1_spa_contigs_1035	41767	Medium-quality	83.66	0	No
42	A1_spa_contigs_10350	10294	Medium-quality	87.66	0	No
43	A1_spa_contigs_10365	10287	Low-quality	10.25	0	No
44	A1_spa_contigs_10377	10281	Low-quality	14.56	0	No
45	A1_spa_contigs_10380	10277	Low-quality	13.63	0	No
46	A1_spa_contigs_10386	10272	Low-quality	16.32	0	No
47	A1_spa_contigs_1040	41706	Low-quality	10.82	0	No
48	A1_spa_contigs_10420	10247	Low-quality	3.85	0	No
49	A1_spa_contigs_10435	10237	Low-quality	3.92	0	No
50	A1_spa_contigs_1045	41614	Low-quality	44.81	0	No
51	A1_spa_contigs_10458	10224	Low-quality	6.31	0	No
52	A1_spa_contigs_10486	10202	Low-quality	6.86	0	No
53	A1_spa_contigs_10491	10199	Low-quality	3.58	0	No
54	A1_spa_contigs_10511	10191	Low-quality	9.86	0	No
55	A1_spa_contigs_10522	10186	Low-quality	13.06	0	No
56	A1_spa_contigs_10526	10184	Low-quality	11.67	0	No
57	A1_spa_contigs_10540	10167	Low-quality	22.16	0	No
58	A1_spa_contigs_10550_1	8653	Low-quality	5.46	0	Yes
59	A1_spa_contigs_10554	10156	Low-quality	16.46	0	No
60	A1_spa_contigs_10582	10140	Low-quality	7.51	0	No
61	A1_spa_contigs_10584	10138	Low-quality	16.5	0	No
62	A1_spa_contigs_10585	10136	Low-quality	19.87	0	No
63	A1_spa_contigs_10594	10129	Low-quality	23.28	0	No
64	A1_spa_contigs_1060	41290	Low-quality	29.94	0	No
65	A1_spa_contigs_10612	10118	Low-quality	9.15	0	No
66	A1_spa_contigs_10641	10102	Low-quality	17.26	0	No
67	A1_spa_contigs_10644	10101	Low-quality	25.01	0	No
68	A1_spa_contigs_10646	10100	Low-quality	6.94	0	No
69	A1_spa_contigs_10659	10087	Low-quality	18.81	0	No
70	A1_spa_contigs_10662	10085	Low-quality	3.8	0	No
71	A1_spa_contigs_10665	10084	Low-quality	7.01	0	No
72	A1_spa_contigs_1067	41189	Complete	100	0	No
73	A1_spa_contigs_1068	41172	High-quality	96.92	0	No
74	A1_spa_contigs_10683	10073	Low-quality	11.25	0	No
75	A1_spa_contigs_10702	10059	Low-quality	29.01	0	No
76	A1_spa_contigs_10718	10043	Low-quality	7.06	0	No
77	A1_spa_contigs_10725	10039	Low-quality	18.42	0	No
78	A1_spa_contigs_10729	10038	Low-quality	4.08	0	No
79	A1_spa_contigs_10730	10037	Low-quality	10.62	0	No
80	A1_spa_contigs_10741	10030	Low-quality	9.82	0	No
81	A1_spa_contigs_10743	10030	Low-quality	5.26	0	No
82	A1_spa_contigs_10748	10028	Medium-quality	72.66	0	No
83	A1_spa_contigs_10749	10028	Low-quality	4.3	0	No
84	A1_spa_contigs_10754	10024	Low-quality	9.13	0	No
85	A1_spa_contigs_10768	10015	Low-quality	2.58	0	No
86	A1_spa_contigs_10769	10015	Low-quality	35.33	0	No
87	A1_spa_contigs_10778	10009	Low-quality	22.29	0	No
88	A1_spa_contigs_10786	10003	Low-quality	24.06	0	No
89	A1_spa_contigs_10794	9995	Low-quality	5.78	0	No
90	A1_spa_contigs_10806	9987	Low-quality	11.2	0	No
91	A1_spa_contigs_10809	9986	Low-quality	2.7	0	No
92	A1_spa_contigs_10841	9972	Low-quality	6.36	0	No
93	A1_spa_contigs_10866	9957	Low-quality	13.1	0	No
94	A1_spa_contigs_1087	40906	High-quality	94.83	0	No
95	A1_spa_contigs_10878	9946	Low-quality	3.36	0	No
96	A1_spa_contigs_10888	9938	Low-quality	13.12	0	No
97	A1_spa_contigs_109	117680	Medium-quality	57.72	0	No
98	A1_spa_contigs_10900	9932	Low-quality	4.32	0	No
99	A1_spa_contigs_10901	9931	Low-quality	6.84	0	No
100	A1_spa_contigs_10915	9923	Low-quality	5.7	0	No
101	A1_spa_contigs_10922_1	6923	Low-quality	9.16	0	Yes
102	A1_spa_contigs_10928	9915	Low-quality	13.12	0	No
103	A1_spa_contigs_10929	9913	Low-quality	16.56	0	No
104	A1_spa_contigs_10937	9907	Low-quality	7.02	0	No
105	A1_spa_contigs_10953	9896	Medium-quality	72.15	0	No
106	A1_spa_contigs_10958	9892	Low-quality	3.16	0	No
107	A1_spa_contigs_10961	9889	Low-quality	6.83	0	No
108	A1_spa_contigs_10970	9886	Low-quality	23.36	0	No
109	A1_spa_contigs_10974	9885	Low-quality	20.88	0	No
110	A1_spa_contigs_10980	9881	Low-quality	9.76	0	No
111	A1_spa_contigs_11	304365	Low-quality	24.48	0	No
112	A1_spa_contigs_11005	9865	Low-quality	6.29	0	No
113	A1_spa_contigs_11012	9862	Low-quality	14.15	0	No
114	A1_spa_contigs_11025	9853	Low-quality	3.4	0	No
115	A1_spa_contigs_11032	9849	Low-quality	10.89	0	No
116	A1_spa_contigs_11050	9834	Low-quality	9.76	0	No
117	A1_spa_contigs_11054	9832	Low-quality	4.85	0	No
118	A1_spa_contigs_11075	9818	Low-quality	5.38	0	No
119	A1_spa_contigs_11096	9802	Low-quality	21.22	0	No
120	A1_spa_contigs_11098	9799	Low-quality	23.32	0	No
121	A1_spa_contigs_111	116553	High-quality	100	0	No
122	A1_spa_contigs_11112	9794	Low-quality	18.83	0	No
123	A1_spa_contigs_11122	9785	Low-quality	5.39	0	No
124	A1_spa_contigs_11139	9778	Low-quality	14.11	0	No
125	A1_spa_contigs_11140	9777	Low-quality	17.5	0	No
126	A1_spa_contigs_11145	9773	Low-quality	7.02	0	No
127	A1_spa_contigs_11151_1	6636	Low-quality	16.57	0	Yes
128	A1_spa_contigs_11152	9769	Low-quality	5.49	0	No
129	A1_spa_contigs_11153	9769	Low-quality	9.28	0	No
130	A1_spa_contigs_11174	9760	Low-quality	9.53	0	No
131	A1_spa_contigs_11176	9760	Low-quality	5.29	0	No
132	A1_spa_contigs_11196	9747	Low-quality	26.42	0	No
133	A1_spa_contigs_11197	9746	Low-quality	6.15	0	No
134	A1_spa_contigs_1121	40248	Low-quality	20.47	0	No
135	A1_spa_contigs_11220	9736	Low-quality	23.8	0	No
136	A1_spa_contigs_11226	9733	Low-quality	25.17	0	No
137	A1_spa_contigs_1125	40179	Low-quality	47.45	0	No
138	A1_spa_contigs_11252	9721	Low-quality	17.95	0	No
139	A1_spa_contigs_11253	9720	Low-quality	5.17	0	No
140	A1_spa_contigs_11258	9716	Low-quality	23.82	0	No
141	A1_spa_contigs_11259	9716	Low-quality	9.87	0	No
142	A1_spa_contigs_1126	40159	Low-quality	37.91	0	No
143	A1_spa_contigs_11279	9707	Low-quality	16.19	0	No
144	A1_spa_contigs_11281	9707	Low-quality	4.17	0	No
145	A1_spa_contigs_113	116033	High-quality	99.16	0	No
146	A1_spa_contigs_11300	9697	Low-quality	9.18	0	No
147	A1_spa_contigs_11327	9682	Low-quality	9.34	0	No
148	A1_spa_contigs_11329	9681	Low-quality	5.77	0	No
149	A1_spa_contigs_11339	9673	Low-quality	9.06	0	No
150	A1_spa_contigs_11340	9672	Low-quality	11.08	0	No
151	A1_spa_contigs_11342	9671	Low-quality	6.39	0	No
152	A1_spa_contigs_11345	9668	Low-quality	5.23	0	No
153	A1_spa_contigs_1135_1	21896	Medium-quality	60.75	0	Yes
154	A1_spa_contigs_11357	9659	Low-quality	17.46	0	No
155	A1_spa_contigs_11358_1	7362	Low-quality	13.58	0	Yes
156	A1_spa_contigs_11359	9658	Low-quality	14.72	0	No
157	A1_spa_contigs_11364	9657	Low-quality	4.74	0	No
158	A1_spa_contigs_113898	1932	Low-quality	35.75	0	No
159	A1_spa_contigs_11395	9642	Low-quality	9.95	0	No
160	A1_spa_contigs_11414	9628	Low-quality	4.88	0	No
161	A1_spa_contigs_11418	9625	Low-quality	20.7	0	No
162	A1_spa_contigs_11434	9616	Low-quality	5.32	0	No
163	A1_spa_contigs_11440	9614	Low-quality	9.94	0	No
164	A1_spa_contigs_11453	9610	Low-quality	6.06	0	No
165	A1_spa_contigs_11460	9606	Low-quality	17.85	0	No
166	A1_spa_contigs_11470	9602	Low-quality	12.24	0	No
167	A1_spa_contigs_11474	9600	Low-quality	16.03	0	No
168	A1_spa_contigs_11484	9592	Low-quality	8.96	0	No
169	A1_spa_contigs_11488_1	6305	Low-quality	3.48	0	Yes
170	A1_spa_contigs_1149	39746	Low-quality	35.31	0	No
171	A1_spa_contigs_11498	9582	Low-quality	19.78	0	No
172	A1_spa_contigs_11501	9580	Low-quality	21.18	0	No
173	A1_spa_contigs_11502	9580	Low-quality	1.94	0	No
174	A1_spa_contigs_11514	9573	Low-quality	23.11	0	No
175	A1_spa_contigs_11541	9555	Low-quality	12.13	0	No
176	A1_spa_contigs_11550	9549	Low-quality	3.85	0	No
177	A1_spa_contigs_11555	9546	Medium-quality	81.11	0	No
178	A1_spa_contigs_11556	9546	Low-quality	9.26	0	No
179	A1_spa_contigs_11565	9543	Low-quality	8.41	0	No
180	A1_spa_contigs_11570	9540	Low-quality	13.23	0	No
181	A1_spa_contigs_11575	9538	Low-quality	20	0	No
182	A1_spa_contigs_11577	9536	Low-quality	4.11	0	No
183	A1_spa_contigs_11578	9536	Low-quality	15.95	0	No
184	A1_spa_contigs_11588	9529	Low-quality	1.42	0	No
185	A1_spa_contigs_11607	9516	Low-quality	9.57	0	No
186	A1_spa_contigs_11612	9514	Low-quality	22.68	0	No
187	A1_spa_contigs_11616	9513	Low-quality	3.41	0	No
188	A1_spa_contigs_11631	9507	Low-quality	25.91	0	No
189	A1_spa_contigs_11643	9504	Low-quality	23.01	0	No
190	A1_spa_contigs_11649	9502	Low-quality	13.79	0	No
191	A1_spa_contigs_11674	9490	Low-quality	9.93	0	No
192	A1_spa_contigs_11691	9481	Low-quality	7.27	0	No
193	A1_spa_contigs_11697	9477	Medium-quality	52.63	0	No
194	A1_spa_contigs_11702	9474	Low-quality	5.53	0	No
195	A1_spa_contigs_11703	9474	Low-quality	16.4	0	No
196	A1_spa_contigs_11715	9467	Low-quality	23.1	0	No
197	A1_spa_contigs_11725	9459	Low-quality	3.94	0	No
198	A1_spa_contigs_11743	9450	Low-quality	5.26	0	No
199	A1_spa_contigs_11749	9447	Low-quality	26.17	0	No
200	A1_spa_contigs_11753	9445	Low-quality	22.86	0	No
201	A1_spa_contigs_11756	9443	Low-quality	18.4	0	No
202	A1_spa_contigs_11760	9441	Low-quality	30.32	0	No
203	A1_spa_contigs_11761	9441	Low-quality	26.06	0	No
204	A1_spa_contigs_11771	9434	Low-quality	22.3	0	No
205	A1_spa_contigs_11777	9431	Low-quality	20.66	0	No
206	A1_spa_contigs_11783	9427	Low-quality	5.59	0	No
207	A1_spa_contigs_11784	9426	Low-quality	27.94	0	No
208	A1_spa_contigs_11808	9411	Low-quality	11.61	0	No
209	A1_spa_contigs_11810	9411	Low-quality	4.79	0	No
210	A1_spa_contigs_11814	9408	Low-quality	10.06	0	No
211	A1_spa_contigs_11826	9403	Low-quality	19.94	0	No
212	A1_spa_contigs_11827	9402	Low-quality	16.89	0	No
213	A1_spa_contigs_11847	9387	Low-quality	4.01	0	No
214	A1_spa_contigs_11855	9384	Low-quality	15.56	0	No
215	A1_spa_contigs_11858	9382	Not-determined	0	0	No
216	A1_spa_contigs_11870	9369	Low-quality	14.94	0	No
217	A1_spa_contigs_11875	9367	Low-quality	4.25	0	No
218	A1_spa_contigs_11881	9363	Low-quality	8.5	0	No
219	A1_spa_contigs_11885	9359	Low-quality	9.17	0	No
220	A1_spa_contigs_11898	9352	Low-quality	19.72	0	No
221	A1_spa_contigs_11899	9352	Low-quality	20.55	0	No
222	A1_spa_contigs_11901	9350	Low-quality	21.39	0	No
223	A1_spa_contigs_11906	9347	Low-quality	5.78	0	No
224	A1_spa_contigs_1191	39116	Low-quality	25.8	0	No
225	A1_spa_contigs_11913	9344	Low-quality	20.19	0	No
226	A1_spa_contigs_11915	9342	Low-quality	20.4	0	No
227	A1_spa_contigs_11924	9339	Low-quality	12.01	0	No
228	A1_spa_contigs_11927_1	6740	Low-quality	1.71	0	Yes
229	A1_spa_contigs_11932_1	7044	Low-quality	19.51	0	Yes
230	A1_spa_contigs_11950	9323	Low-quality	16.44	0	No
231	A1_spa_contigs_11953	9322	Low-quality	8.52	0	No
232	A1_spa_contigs_11962	9320	Low-quality	24.08	0	No
233	A1_spa_contigs_11968	9318	Low-quality	3.73	0	No
234	A1_spa_contigs_1197	39014	Medium-quality	54.36	0	No
235	A1_spa_contigs_11970	9316	Low-quality	1.72	0	No
236	A1_spa_contigs_11974	9312	Low-quality	8.12	0	No
237	A1_spa_contigs_11976	9310	Low-quality	5.21	0	No
238	A1_spa_contigs_11985	9304	Medium-quality	67.78	0	No
239	A1_spa_contigs_11987	9303	Low-quality	20.32	0	No
240	A1_spa_contigs_11990	9302	Low-quality	11.92	0	No
241	A1_spa_contigs_11995	9298	Low-quality	3.88	0	No
242	A1_spa_contigs_11998	9297	Low-quality	4.41	0	No
243	A1_spa_contigs_1202	38962	Medium-quality	85.52	0	No
244	A1_spa_contigs_12035	9275	Low-quality	11.35	0	No
245	A1_spa_contigs_12040_1	5670	Low-quality	2.29	0	Yes
246	A1_spa_contigs_12054	9264	Low-quality	4.73	0	No
247	A1_spa_contigs_12055	9264	Low-quality	5.22	0	No
248	A1_spa_contigs_12072	9255	Low-quality	20.39	0	No
249	A1_spa_contigs_12075	9254	Low-quality	23.95	0	No
250	A1_spa_contigs_1208	38821	Low-quality	7.1	0	No
251	A1_spa_contigs_12085	9248	Low-quality	10.82	0	No
252	A1_spa_contigs_12088	9247	Low-quality	5.16	0	No
253	A1_spa_contigs_12093	9243	Low-quality	21.65	0	No
254	A1_spa_contigs_12104	9238	Low-quality	14.91	0	No
255	A1_spa_contigs_12107	9236	Low-quality	20.44	0	No
256	A1_spa_contigs_1211	38756	Low-quality	14.37	0	No
257	A1_spa_contigs_12110	9235	Low-quality	3.67	0	No
258	A1_spa_contigs_12115_1	8609	Low-quality	10.51	0	Yes
259	A1_spa_contigs_1212_1	27367	Medium-quality	74.58	0	Yes
260	A1_spa_contigs_12140	9221	Low-quality	21.42	0	No
261	A1_spa_contigs_12146	9218	Low-quality	11.67	0	No
262	A1_spa_contigs_12177	9201	Low-quality	8.64	0	No
263	A1_spa_contigs_12179	9200	Low-quality	4.99	0	No
264	A1_spa_contigs_12182	9199	Low-quality	5.42	0	No
265	A1_spa_contigs_12189	9195	Low-quality	3.42	0	No
266	A1_spa_contigs_12212	9177	Low-quality	2.54	0	No
267	A1_spa_contigs_12218	9173	Low-quality	8.25	0	No
268	A1_spa_contigs_12222	9172	Low-quality	22.04	0	No
269	A1_spa_contigs_12235	9164	Not-determined	0	0	No
270	A1_spa_contigs_12237	9163	Low-quality	8.68	0	No
271	A1_spa_contigs_12244	9161	Low-quality	14.55	0	No
272	A1_spa_contigs_12246	9160	Low-quality	2.41	0	No
273	A1_spa_contigs_12261	9152	Low-quality	22.44	0	No
274	A1_spa_contigs_12280	9142	Low-quality	12.47	0	No
275	A1_spa_contigs_12296	9136	Low-quality	5.25	0	No
276	A1_spa_contigs_123	112545	Medium-quality	63.62	0	No
277	A1_spa_contigs_1230	38430	Low-quality	33.41	0	No
278	A1_spa_contigs_12300	9134	Low-quality	6.3	0	No
279	A1_spa_contigs_12307	9128	Medium-quality	65.88	0	No
280	A1_spa_contigs_12314	9125	Low-quality	26.32	0	No
281	A1_spa_contigs_12315	9125	Low-quality	7.09	0	No
282	A1_spa_contigs_12316	9125	Low-quality	14.9	0	No
283	A1_spa_contigs_12323	9121	Low-quality	19.71	0	No
284	A1_spa_contigs_12328	9120	Low-quality	18.04	0	No
285	A1_spa_contigs_12331	9118	Low-quality	4.93	0	No
286	A1_spa_contigs_1234	38404	High-quality	95.24	0	No
287	A1_spa_contigs_12340	9115	Low-quality	5.38	0	No
288	A1_spa_contigs_12350	9109	Low-quality	20.52	0	No
289	A1_spa_contigs_12356	9106	Low-quality	19.88	0	No
290	A1_spa_contigs_12362	9104	Medium-quality	64.3	0	No
291	A1_spa_contigs_12364	9104	Low-quality	5.24	0	No
292	A1_spa_contigs_12376	9096	Low-quality	24.9	0	No
293	A1_spa_contigs_12378	9095	Low-quality	9.49	0	No
294	A1_spa_contigs_12379	9095	Low-quality	13.9	0	No
295	A1_spa_contigs_12392	9084	Low-quality	25.9	0	No
296	A1_spa_contigs_1240	38345	High-quality	95.03	0	No
297	A1_spa_contigs_12405	9080	Low-quality	14.6	0	No
298	A1_spa_contigs_12407	9079	Low-quality	7.15	0	No
299	A1_spa_contigs_12413	9076	Low-quality	3.72	0	No
300	A1_spa_contigs_12415	9075	Low-quality	4.04	0	No
301	A1_spa_contigs_12440	9060	Low-quality	15.08	0	No
302	A1_spa_contigs_12442	9059	Low-quality	19.68	0	No
303	A1_spa_contigs_12444	9059	Low-quality	2.39	0	No
304	A1_spa_contigs_12458	9053	Low-quality	1.67	0	No
305	A1_spa_contigs_12463	9050	Low-quality	6.03	0	No
306	A1_spa_contigs_12466	9047	Low-quality	8.77	0	No
307	A1_spa_contigs_12472	9042	Low-quality	14.97	0	No
308	A1_spa_contigs_12478	9039	Low-quality	25.49	0	No
309	A1_spa_contigs_12497	9030	Low-quality	4.77	0	No
310	A1_spa_contigs_1250	38200	Low-quality	32.76	0	No
311	A1_spa_contigs_12506	9028	Medium-quality	65.03	0	No
312	A1_spa_contigs_12508	9027	Low-quality	18.92	0	No
313	A1_spa_contigs_12513	9022	Low-quality	3.64	0	No
314	A1_spa_contigs_125187	1808	Low-quality	43.45	0	No
315	A1_spa_contigs_12521	9018	Low-quality	6.79	0	No
316	A1_spa_contigs_12523	9018	Low-quality	13.04	0	No
317	A1_spa_contigs_12552	9007	Low-quality	5.55	0	No
318	A1_spa_contigs_1256	38115	High-quality	91.5	0	No
319	A1_spa_contigs_12572	8993	Low-quality	9.09	0	No
320	A1_spa_contigs_12576	8991	Low-quality	5.63	0	No
321	A1_spa_contigs_12587	8986	Low-quality	24.49	0	No
322	A1_spa_contigs_12588	8985	Low-quality	4.87	0	No
323	A1_spa_contigs_1259	38092	Low-quality	12.6	0	No
324	A1_spa_contigs_12591	8984	Low-quality	6.15	0	No
325	A1_spa_contigs_126	111899	High-quality	100	0	No
326	A1_spa_contigs_126107	1799	Low-quality	33.29	0	No
327	A1_spa_contigs_12614	8971	Low-quality	16.02	0	No
328	A1_spa_contigs_12630	8968	Low-quality	17.01	0	No
329	A1_spa_contigs_12633	8966	Low-quality	19.42	0	No
330	A1_spa_contigs_1264	38032	Medium-quality	56.02	0	No
331	A1_spa_contigs_12651	8958	Low-quality	8.82	0	No
332	A1_spa_contigs_12658	8954	Low-quality	4.48	0	No
333	A1_spa_contigs_12659	8953	Low-quality	3.64	0	No
334	A1_spa_contigs_1266	37934	Low-quality	37.73	0	No
335	A1_spa_contigs_12672	8947	Low-quality	12.57	0	No
336	A1_spa_contigs_12717	8923	Low-quality	7.41	0	No
337	A1_spa_contigs_12719	8922	Low-quality	2.47	0	No
338	A1_spa_contigs_12726	8918	Low-quality	23.93	0	No
339	A1_spa_contigs_127315	1787	Low-quality	33.07	0	No
340	A1_spa_contigs_12749	8909	Medium-quality	64.72	0	No
341	A1_spa_contigs_12758	8905	Low-quality	3.83	0	No
342	A1_spa_contigs_12764	8904	Low-quality	3.76	0	No
343	A1_spa_contigs_1277	37726	Medium-quality	86.98	0	No
344	A1_spa_contigs_12780	8899	Low-quality	22.56	0	No
345	A1_spa_contigs_12785	8897	Low-quality	7.25	0	No
346	A1_spa_contigs_12795	8892	Low-quality	12.2	0	No
347	A1_spa_contigs_128	111386	Low-quality	49.64	0	No
348	A1_spa_contigs_12805	8886	Low-quality	19.55	0	No
349	A1_spa_contigs_12816	8881	Not-determined	0	0	No
350	A1_spa_contigs_12835	8872	Low-quality	10.9	0	No
351	A1_spa_contigs_12861	8857	Low-quality	8.31	0	No
352	A1_spa_contigs_1287	37540	Low-quality	36.94	0	No
353	A1_spa_contigs_12874	8850	Low-quality	14.66	0	No
354	A1_spa_contigs_12875	8848	Low-quality	12.51	0	No
355	A1_spa_contigs_12899	8840	Low-quality	8.87	0	No
356	A1_spa_contigs_129_1	10693	Low-quality	16.86	0	Yes
357	A1_spa_contigs_12918	8831	Low-quality	12.07	0	No
358	A1_spa_contigs_12925	8829	Low-quality	3.56	0	No
359	A1_spa_contigs_12938	8826	Low-quality	5.85	0	No
360	A1_spa_contigs_12944	8823	Low-quality	8.7	0	No
361	A1_spa_contigs_12946	8821	Low-quality	3.04	0	No
362	A1_spa_contigs_12948	8820	Low-quality	48.5	0	No
363	A1_spa_contigs_12955	8817	Low-quality	3.16	0	No
364	A1_spa_contigs_12963	8812	Low-quality	19.86	0	No
365	A1_spa_contigs_12987	8800	Low-quality	5.44	0	No
366	A1_spa_contigs_12988	8799	Low-quality	19.52	0	No
367	A1_spa_contigs_1301	37399	High-quality	97.14	0	No
368	A1_spa_contigs_13025	8786	Low-quality	10.77	0	No
369	A1_spa_contigs_130379	1756	Low-quality	19.99	0	No
370	A1_spa_contigs_13040	8780	Low-quality	19.45	0	No
371	A1_spa_contigs_13066	8765	Low-quality	4.2	0	No
372	A1_spa_contigs_13068	8764	Low-quality	9.26	0	No
373	A1_spa_contigs_13075	8761	Low-quality	17.23	0	No
374	A1_spa_contigs_13098	8751	Low-quality	13.1	0	No
375	A1_spa_contigs_131011	1750	Low-quality	32.38	0	No
376	A1_spa_contigs_13108	8748	Low-quality	6.27	0	No
377	A1_spa_contigs_13111	8747	Low-quality	8.42	0	No
378	A1_spa_contigs_13136	8736	Low-quality	2.96	0	No
379	A1_spa_contigs_13145	8730	Low-quality	25.57	0	No
380	A1_spa_contigs_13146	8730	Low-quality	9.07	0	No
381	A1_spa_contigs_13148	8729	Low-quality	3.15	0	No
382	A1_spa_contigs_13155	8727	Low-quality	4.49	0	No
383	A1_spa_contigs_13166	8722	Low-quality	2.62	0	No
384	A1_spa_contigs_13180	8718	Not-determined	0	0	No
385	A1_spa_contigs_13193	8711	Low-quality	2.78	0	No
386	A1_spa_contigs_13200	8709	Low-quality	7.62	0	No
387	A1_spa_contigs_13202	8709	Low-quality	23.31	0	No
388	A1_spa_contigs_13215	8705	Low-quality	23.01	0	No
389	A1_spa_contigs_13216	8704	Low-quality	19.49	0	No
390	A1_spa_contigs_13218	8703	Low-quality	2.57	0	No
391	A1_spa_contigs_13222	8702	Low-quality	3.23	0	No
392	A1_spa_contigs_13230	8698	Low-quality	19.06	0	No
393	A1_spa_contigs_13235	8696	Low-quality	5.7	0	No
394	A1_spa_contigs_13238	8696	Low-quality	24.08	0	No
395	A1_spa_contigs_13240	8695	Low-quality	2.71	0	No
396	A1_spa_contigs_13242	8694	Low-quality	21.45	0	No
397	A1_spa_contigs_13246	8692	Low-quality	16.99	0	No
398	A1_spa_contigs_13250	8691	Low-quality	8.04	0	No
399	A1_spa_contigs_13252	8690	Low-quality	3.83	0	No
400	A1_spa_contigs_13257	8688	Low-quality	3.22	0	No
401	A1_spa_contigs_13275	8677	Low-quality	1.58	0	No
402	A1_spa_contigs_13278	8676	Low-quality	6.49	0	No
403	A1_spa_contigs_13296	8672	Low-quality	8.77	0	No
404	A1_spa_contigs_1331	36908	Low-quality	9.91	0	No
405	A1_spa_contigs_13316	8660	Low-quality	25.25	0	No
406	A1_spa_contigs_1332	36906	Low-quality	34.98	0	No
407	A1_spa_contigs_13337_1	5290	Low-quality	12.49	0	Yes
408	A1_spa_contigs_13350	8647	Low-quality	5.13	0	No
409	A1_spa_contigs_13376	8634	Low-quality	5.67	0	No
410	A1_spa_contigs_13377	8634	Low-quality	6.51	0	No
411	A1_spa_contigs_13378	8634	Low-quality	7.29	0	No
412	A1_spa_contigs_13380	8633	Low-quality	5.19	0	No
413	A1_spa_contigs_13384	8633	Low-quality	20.31	0	No
414	A1_spa_contigs_1339	36811	Low-quality	10.06	0	No
415	A1_spa_contigs_13401	8625	Low-quality	3.45	0	No
416	A1_spa_contigs_13409	8622	Low-quality	6.26	0	No
417	A1_spa_contigs_13424	8614	Low-quality	31.81	0	No
418	A1_spa_contigs_13429	8613	Low-quality	3.09	0	No
419	A1_spa_contigs_13438	8609	Low-quality	3.08	0	No
420	A1_spa_contigs_13452	8603	Low-quality	3.48	0	No
421	A1_spa_contigs_13457	8602	Low-quality	8.55	0	No
422	A1_spa_contigs_13461	8601	Low-quality	9.88	0	No
423	A1_spa_contigs_13465	8600	Low-quality	16.33	0	No
424	A1_spa_contigs_13480	8595	Low-quality	6.16	0	No
425	A1_spa_contigs_13482	8595	Low-quality	6.34	0	No
426	A1_spa_contigs_13486	8592	Low-quality	13.97	0	No
427	A1_spa_contigs_13500	8587	Low-quality	3.33	0	No
428	A1_spa_contigs_13504_1	6874	Low-quality	10.95	0	Yes
429	A1_spa_contigs_13511	8582	Low-quality	8.98	0	No
430	A1_spa_contigs_13513	8581	Low-quality	4.64	0	No
431	A1_spa_contigs_13516	8579	Low-quality	11.98	0	No
432	A1_spa_contigs_13520	8577	Low-quality	10.63	0	No
433	A1_spa_contigs_13528	8572	Low-quality	9.52	0	No
434	A1_spa_contigs_13537	8568	Low-quality	17.7	0	No
